抓取时间,抓取时刻,订单号,安,非,赔,保,农,订单标题,金额(元）,年利率,期限（月）,还款方式,每月还款金额,进度,借款状态,剩余时间,结束时间,总投标数,浏览量,借款id,借入信用等级,借入信用分数,借出信用分数,成功次数,流标次数,身份认证,视频认证,学历认证,手机认证,借款目的,性别,年龄,婚姻状况,文化程度,住宅状况,是否购车,户口所在地,毕业学校,学历,学习形式,网站认证,淘宝网认证,卖家信用等级（皇冠数*10+钻石数*1）,关于我,我想要使用这笔款项做什么,我的还款能力说明
2014/05/12,16:25:49,100075,0,0,0,0,0,借钱搞手机代理商,8000,10,12,等额本息，每月还款,703,0.00,投标已结束,,2007/9/7,0,25,feifei,HR,12,0,0,5,0,0,0,0,,,,,,,,,,,,0,,,,,
2014/05/12,16:25:53,100076,1,0,0,0,0,专职妈妈创业前期资金，真诚相对,30000,20,6,等额本息，每月还款,5296,29.83,投标已结束,,2007/9/7,12,211,jmmry,E,28,10,0,7,0,0,0,0,,,,,,,,,,,,0,,,,,
2014/05/12,16:27:47,100078,0,0,0,0,0,"急需应急资金,做生意,请帮帮忙!感谢",50000,18,18,等额本息，每月还款,3190,0.00,投标已结束,,2007/9/19,0,124,ach,HR,17,0,0,1,0,0,0,0,,,,,,,,,,,,0,,,,,
2014/05/12,16:27:52,100079,0,0,0,0,0,在深圳富士康厂门口开服装店,70000,9,11,等额本息，每月还款,6654,0.00,投标已结束,,2007/9/10,0,30,hzj,E,27,10,0,1,0,0,0,0,,,,,,,,,,,,0,,,,,
2014/05/12,16:27:56,100080,0,0,0,0,0,借款开一个奶茶店,20000,7,12,等额本息，每月还款,1731,100.00,借款成功,,2007/9/20,1,645,Sam,E,32,10,1,0,0,0,0,0,,,,,,,,,,,,0,,,,,
2014/05/12,16:27:59,100081,0,0,0,0,0,投资扩展已运营三月的项目，市场良好！,100000,15,24,等额本息，每月还款,4849,0.00,投标已结束,,2007/9/17,0,61,youuuan,E,29,10,0,1,0,0,0,0,,,,,,,,,,,,0,,,,,
2014/05/12,16:28:06,100082,0,0,0,0,0,借款上职业技术学校,8000,12,12,等额本息，每月还款,711,13.40,投标已结束,,2007/9/20,6,311,weiyi-007,HR,19,22,3,1,0,0,0,0,,,,,,,,,,,,0,,,,,
2014/05/12,16:28:14,100083,0,0,0,0,0,想开自己的贸易公司,50000,1,24,等额本息，每月还款,2105,0.00,投标已结束,,2007/9/15,0,28,xhiaoua888,E,26,10,0,3,0,0,0,0,,,,,,,,,,,,0,,,,,
2014/05/12,16:28:18,100084,0,0,0,0,0,新兴网站推广发展筹款,5000,10,12,等额本息，每月还款,440,0.00,投标已结束,,2007/9/20,0,36,9425813,HR,18,0,0,2,0,0,0,0,,,,,,,,,,,,0,,,,,
2014/05/12,16:28:22,100085,0,0,0,0,0,想开自己一家贸易公司,50000,1,24,等额本息，每月还款,2105,0.00,投标已结束,,2007/9/10,0,32,xhiaoua888,E,26,10,0,3,0,0,0,0,,,,,,,,,,,,0,,,,,
